CODGEO;Population_en_2021;Pop_0_14_ans_en_2021;Pop_15_29_ans_en_2021;Pop_30_44_ans_en_2021;Pop_45_59_ans_en_2021;Pop_60_74_ans_en_2021;Pop_75_89_ans_en_2021;Pop_90_ans_ou_plus_en_2021;Pop_Hommes_en_2021;Pop_Femmes_en_2021;Pop_15_ans_ou_plus_Retraités_en_2021;Population_en_2015;Pop_0_14_ans_en_2015;Pop_15_29_ans_en_2015;Pop_30_44_ans_en_2015;Pop_45_59_ans_en_2015;Pop_60_74_ans_en_2015;Pop_75_89_ans_en_2015;Pop_90_ans_ou_plus_en_2015;Pop_Hommes_en_2015;Pop_Femmes_en_2015;Pop_15_ans_ou_plus_Retraités_en_2015;Population_en_2010;Pop_0_14_ans_en_2010;Pop_15_29_ans_en_2010;Pop_30_44_ans_en_2010;Pop_45_59_ans_en_2010;Pop_60_74_ans_en_2010;Pop_Hommes_en_2010;Pop_Femmes_en_2010;Pop_15_ans_ou_plus_Retraités__en_2010;Chômeurs_15_64_ans_en_2021;Chômeurs_15_64_ans_en_2015;Chômeurs_15_64_ans_en_2010;Salaire_net_horaire_moyen_en_2021
44138;1136.0;267.486757815547;202.589186895765;241.101768002615;260.656958377801;121.307433384944;37.1977355413951;5.66015998193221;562.851939877192;573.148060122808;105.627345270846;1098.0;318.900804289544;150.128686327078;293.388739946381;192.321715817694;96.1608579088471;41.2117962466488;5.88739946380697;540.659517426273;557.340482573726;156.997319034852;960.0;273.865030674847;129.570552147239;266.01226993865;155.092024539877;74.601226993865;472.147239263804;487.852760736196;117.791411042945;36.8834441664959;49.0616621983914;35.3374233128834;
44139;1488.0;366.486205788774;235.622986012036;390.694809378404;257.348947848586;185.389876659511;48.5683883760262;3.88878593666212;761.900340472225;726.099659527775;223.247111029088;1377.0;341.505580589799;241.647912222356;362.475027518185;234.658096579561;136.800677580425;51.9243447750517;7.98836073462334;712.965934342109;664.03406565789;199.709018365584;1280.0;354.146341463415;199.024390243902;334.634146341463;214.634146341463;113.170731707317;654.634146341463;625.365853658537;148.292682926829;41.5621696899653;85.8748778972009;60.4878048780488;
44140;1506.0;333.860886312969;241.534436716016;350.361517426519;300.406619795477;195.334588905721;75.9833857521587;8.51856509114027;798.699566468656;707.300433531344;189.722678273487;1532.0;404.102455145474;224.945318209509;391.867903049592;291.995338900534;131.086048910744;82.7560802911143;5.24685549303272;793.736227342781;738.263772657218;208.226773619257;1544.0;405.083717864206;259.538562953197;397.959129861569;279.894528675017;120.100197758734;805.078444297957;738.921555702044;240.200395517469;39.8465196483098;64.8149181685101;41.7297297297298;
44141;1282.0;321.508720789843;175.517494096346;337.444277215973;230.076887631291;163.364300002183;48.9617961984908;5.12652406587313;645.773835500836;636.226164499164;198.467532640709;1276.0;381.529681958259;161.664779461231;357.244039387442;207.313532552356;120.234534063079;45.0115691542721;3.00186342336158;635.57558783333;640.424412166671;215.382403764798;1140.0;300.322580645162;199.193548387098;275.806451612904;207.36559139785;93.9784946236563;562.849462365594;577.150537634411;171.612903225806;34.6121893156681;55.4566933746137;28.6021505376345;
44142;1941.0;426.607156793153;301.862597715663;450.889930502755;431.842865175454;235.524075121697;90.3300499232977;3.94332476798037;981.367646847605;959.632353152395;277.955156775687;1862.0;452.998420221169;279.447077409163;458.881516587678;366.713006845708;202.96682464455;92.1685097419694;8.82464454976303;925.607161664033;936.392838335966;279.447077409163;1695.0;412.644146767618;291.220151426908;410.669772859639;309.976703552708;164.860221316249;845.032032615027;849.967967384974;319.848573092604;63.1521414891574;67.6556082148499;50.3465346534654;
44143;42998.0;7927.7237609925;8052.22939624706;9049.88941795782;7940.37704705019;6016.91745070838;3337.27800694536;673.584920098685;19954.6240525687;23043.3759474313;8529.32221066723;39649.0;7356.27193824304;7306.66205545168;7884.49086778499;7948.82203571972;5019.73215969136;3578.60677062657;554.414172482644;18094.226585139;21554.7734148609;8588.56423380665;38425.0;6955.81650799306;7283.37455425333;7821.43097895384;7652.96594699825;4735.04542533669;17794.7620082259;20630.2379917741;8661.16833504734;2209.50400661764;2288.50860304827;1975.76245307295;15.4277327230838
44144;2358.0;471.123586743436;391.650409290022;431.93508956943;421.410134452983;446.117773567488;139.012171421265;56.7508349553761;1155.20724926325;1202.79275073675;567.048028307922;2288.0;518.562763417325;338.15024306491;472.22730737053;405.18877521772;319.486820699223;183.357936845041;51.0261533852528;1091.77810632441;1196.22189367559;465.052865628509;2127.0;479.379014738844;317.889559225232;440.30402470224;398.371088947563;249.117833543239;1071.88796456796;1055.11203543204;443.265673420328;76.8975165641859;114.359848966558;83.9604126926667;13.0649169282918
44145;3203.0;738.673350608689;422.020531298663;726.812377750069;665.448768298902;421.21226225846;174.98067828381;53.8520315014059;1637.54826597253;1565.45173402747;680.160564304002;2860.0;660.386921624684;401.578375826507;625.940509915498;606.304296506524;329.117642430047;193.984902647515;42.6873510492256;1428.06427896981;1431.93572103019;465.319821033381;2663.0;622.047386235427;389.29058543312;646.498934436505;511.570264510468;288.804146667432;1341.54612306993;1321.45387693007;498.400375656284;76.1443044685042;124.022898961353;83.1352638836655;14.8068095260287
44146;2146.0;375.111072029682;325.785602731633;332.131785249896;453.431862355466;410.690062862506;195.560708836147;53.2889059346705;1062.45442957753;1083.54557042247;659.187269115087;2247.0;422.0;327.0;378.0;499.0;382.0;206.0;33.0;1136.0;1111.0;645.0;2253.0;457.0;335.0;436.0;469.0;339.0;1139.0;1114.0;516.0;81.3545130566932;108.0;92.0;13.0576107961753
44148;708.0;172.410257818232;96.320539695478;139.680914561214;129.889401716606;109.111131443515;55.7576420648905;4.8301127000643;374.87932941038;333.12067058962;142.395489903797;713.999999999999;167.095475631548;101.283383360293;144.32186320018;140.914087561094;97.7905462284867;58.5545181886985;4.04012582969962;373.486194419271;340.513805580728;145.212494664701;718.999999999998;148.512215886017;134.095617278426;130.098134244402;149.561634643171;90.1467386890347;380.00040715626;338.999592843738;192.586214472029;33.4220278402741;44.1693108746576;20.4628711572748;
