annee;libelle;code_commune;nb_benef_rsa
2012;Riaillé;44144;41
2011;Rouans;44145;31
2012;Rouans;44145;24
2015;Ruffigné;44148;22
2011;Saffré;44149;49
2012;Saffré;44149;50
2012;Saint-Aubin-des-Châteaux;44153;31
2010;Saint-Étienne-de-Montluc;44158;63
2011;Saint-Étienne-de-Montluc;44158;58
2010;Saint-Géréon;44160;22
2011;Saint-Gildas-des-Bois;44161;56
2012;Saint-Gildas-des-Bois;44161;57
2013;Saint-Gildas-des-Bois;44161;77
2013;Saint-Herblon;44163;16
2015;Saint-Hilaire-de-Chaléons;44164;27
2013;Saint-Hilaire-de-Chaléons;44164;36
2014;Saint-Hilaire-de-Clisson;44165;15
2010;Saint-Hilaire-de-Clisson;44165;10
2012;Saint-Joachim;44168;66
2013;Saint-Julien-de-Concelles;44169;73
2012;Saint-Julien-de-Vouvantes;44170;14
2015;Saint-Lumine-de-Clisson;44173;35
2012;Saint-Lumine-de-Clisson;44173;23
2010;Saint-Lyphard;44175;36
2012;Saint-Lyphard;44175;49
2014;Saint-Malo-de-Guersac;44176;34
2015;Saint-Malo-de-Guersac;44176;38
2010;Saint-Malo-de-Guersac;44176;33
2013;Saint-Mars-de-Coutais;44178;33
2013;Saint-Mars-la-Jaille;44180;52
2014;Saint-Même-le-Tenu;44181;13
2011;Saint-Même-le-Tenu;44181;11
2012;Saint-Michel-Chef-Chef;44182;82
2015;Saint-Molf;44183;36
2012;Saint-Nazaire;44184;3047
2011;Saint-Sulpice-des-Landes;44191;8
2011;Saint-Viaud;44192;28
2015;Saint-Vincent-des-Landes;44193;41
2010;Sévérac;44196;32
2011;Sion-les-Mines;44197;58
2012;Soulvache;44200;16
2015;Sucé-sur-Erdre;44201;92
2010;Teillé;44202;21
2012;Teillé;44202;22
2015;Thouaré-sur-Loire;44204;155
2015;Touvois;44206;33
2012;Vallet;44212;111
2010;Vertou;44215;228
2013;Vigneux-de-Bretagne;44217;55
2015;Villepot;44218;8
2011;Vritz;44219;11
2016;Avessac;44007;45
2016;Basse-Goulaine;44009;56
2016;Bouaye;44018;79
2016;Bouvron;44023;20
2016;Casson;44027;10
2016;Fay-de-Bretagne;44056;32
2016;Geneston;44223;18
2016;Gétigné;44063;20
2016;Héric;44073;51
2016;Issé;44075;40
2016;La Chapelle-Basse-Mer;44029;42
2016;La Planche;44127;16
2016;La Regrippière;44140;8
2016;La Remaudière;44141;5
2016;La Rouxière;44147;12
2016;Le Cellier;44028;39
2016;Le Fresne-sur-Loire;44060;0
2016;Le Pellerin;44120;70
2016;Ligné;44082;25
2016;Montrelais;44104;15
2016;Mouzillon;44108;16
2016;Pont-Saint-Martin;44130;56
2016;Rezé;44143;1239
2016;Saffré;44149;36
2016;Saint-Étienne-de-Mer-Morte;44157;19
2016;Saint-Lumine-de-Clisson;44173;18
2016;Saint-Lyphard;44175;22
2016;Saint-Mars-du-Désert;44179;29
2016;Saint-Mars-la-Jaille;44180;35
2016;Trans-sur-Erdre;44207;7
2016;Vallet;44212;78
2017;Blain;44015;174
2017;Cordemais;44045;17
2017;Couëron;44047;283
2017;Erbray;44054;35
2017;Frossay;44061;24
2017;Grandchamps-des-Fontaines;44066;27
2017;Haute-Goulaine;44071;33
2017;La Chevrolière;44041;38
2017;La Grigonnais;44224;19
2017;La Marne;44090;13
2017;La Planche;44127;16
2017;La Turballe;44211;77
2017;Les Sorinières;44198;81
2017;Lusanger;44086;22
2017;Petit-Auverné;44121;12
2017;Pont-Saint-Martin;44130;56
2017;Port-Saint-Père;44133;25
2017;Rouans;44145;12
2017;Saint-Aignan-Grandlieu;44150;30
2017;Sainte-Reine-de-Bretagne;44189;17
2017;Saint-Mars-du-Désert;44179;22
2017;Sion-les-Mines;44197;37
2017;Soudan;44199;40
2017;Thouaré-sur-Loire;44204;106
2017;Treffieux;44208;26
2018;Besné;44013;26
2018;Le Bignon;44014;22
2018;Bouée;44019;12
2018;Bouguenais;44020;846
2018;Boussay;44022;18
2018;Corsept;44046;20
2018;Couffé;44048;12
2018;Le Croisic;44049;66
2018;Crossac;44050;22
2018;Gorges;44064;32
